Ano SIAFI,Classificação RP,Classificação RP (Cod),Função DESP,Resultado Lei (Cod) DESP,Resultado Lei DESP,Resultado EOF (Cod) DESP,Resultado EOF DESP,RP (Cod),RP,Poder DESP,Setor DESP,Emenda (Tipo),Dotação Inicial (IPCA),Pago (IPCA)
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,AGRICULTURA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,OUTRO PODER,"FAZENDA, DESENVOLVIMENTO E TURISMO",NÃO INFORMADO,"0,00","3.627.641.528,09"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,AGRICULTURA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,AGRICULTURA E DESENVOLVIMENTO AGRÁRIO,NÃO INFORMADO,"0,00","2.979.969.789,18"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,ASSISTÊNCIA SOCIAL,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,"TRABALHO, PREVIDÊNCIA E ASSISTÊNCIA SOCIAL",NÃO INFORMADO,"0,00","3.772.865,71"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,CIÊNCIA E TECNOLOGIA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,OUTRO PODER,"FAZENDA, DESENVOLVIMENTO E TURISMO",NÃO INFORMADO,"0,00","885.055.809,29"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,CIÊNCIA E TECNOLOGIA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,"EDUCAÇÃO, CULTURA, CIÊNCIA E TECNOLOGIA E ESPORTE",NÃO INFORMADO,"0,00","347.406.662,20"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,COMÉRCIO E SERVIÇOS,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,OUTRO PODER,"FAZENDA, DESENVOLVIMENTO E TURISMO",NÃO INFORMADO,"0,00","1.495.155.860,07"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,COMÉRCIO E SERVIÇOS,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,"FAZENDA, DESENVOLVIMENTO E TURISMO",NÃO INFORMADO,"0,00","4.342.702,76"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,COMUNICAÇÕES,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,OUTRO PODER,"FAZENDA, DESENVOLVIMENTO E TURISMO",NÃO INFORMADO,"0,00","106.042.262,30"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,COMUNICAÇÕES,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,INFRA-ESTRUTURA,NÃO INFORMADO,"0,00","84.979.301,61"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,CULTURA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,OUTRO PODER,"FAZENDA, DESENVOLVIMENTO E TURISMO",NÃO INFORMADO,"0,00","7.422.958,36"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,CULTURA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,"EDUCAÇÃO, CULTURA, CIÊNCIA E TECNOLOGIA E ESPORTE",NÃO INFORMADO,"0,00","67.714.062,06"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,DEFESA NACIONAL,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,JUSTIÇA E DEFESA,NÃO INFORMADO,"0,00","601.580.863,87"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,DESPORTO E LAZER,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,"EDUCAÇÃO, CULTURA, CIÊNCIA E TECNOLOGIA E ESPORTE",NÃO INFORMADO,"0,00","2.820.936,76"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,DIREITOS DA CIDADANIA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,JUSTIÇA E DEFESA,NÃO INFORMADO,"0,00","100.158.831,78"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,DIREITOS DA CIDADANIA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,PODERES DO ESTADO E REPRESENTAÇÃO,NÃO INFORMADO,"0,00","787.646,25"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,EDUCAÇÃO,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,OUTRO PODER,"FAZENDA, DESENVOLVIMENTO E TURISMO",NÃO INFORMADO,"0,00","1.756.510.667,24"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,EDUCAÇÃO,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,"EDUCAÇÃO, CULTURA, CIÊNCIA E TECNOLOGIA E ESPORTE",NÃO INFORMADO,"0,00","5.663.464.851,35"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,EDUCAÇÃO,1,DESP. PRIM. OBRIGATÓRIA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,"EDUCAÇÃO, CULTURA, CIÊNCIA E TECNOLOGIA E ESPORTE",NÃO INFORMADO,"0,00","0,00"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,ENCARGOS ESPECIAIS,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,OUTRO PODER,"FAZENDA, DESENVOLVIMENTO E TURISMO",NÃO INFORMADO,"0,00","13.757.162.713,12"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,ENCARGOS ESPECIAIS,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,INTEGRAÇÃO NACIONAL E MEIO AMBIENTE,NÃO INFORMADO,"0,00","0,00"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,ENCARGOS ESPECIAIS,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,"TRABALHO, PREVIDÊNCIA E ASSISTÊNCIA SOCIAL",NÃO INFORMADO,"0,00","22.923.284.385,24"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,ENERGIA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,INFRA-ESTRUTURA,NÃO INFORMADO,"0,00","76.679.035,24"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,ESSENCIAL À JUSTIÇA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,MINISTÉRIO PÚBLICO DA UNIÃO,PODERES DO ESTADO E REPRESENTAÇÃO,NÃO INFORMADO,"0,00","704.526.945,13"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,ESSENCIAL À JUSTIÇA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,JUSTIÇA E DEFESA,NÃO INFORMADO,"0,00","36.794.112,63"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,ESSENCIAL À JUSTIÇA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,PODERES DO ESTADO E REPRESENTAÇÃO,NÃO INFORMADO,"0,00","688.897.641,49"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,GESTÃO AMBIENTAL,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,INTEGRAÇÃO NACIONAL E MEIO AMBIENTE,NÃO INFORMADO,"0,00","275.810.100,41"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,INDÚSTRIA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,OUTRO PODER,"FAZENDA, DESENVOLVIMENTO E TURISMO",NÃO INFORMADO,"0,00","0,00"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,INDÚSTRIA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,"FAZENDA, DESENVOLVIMENTO E TURISMO",NÃO INFORMADO,"0,00","125.834.400,05"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,INDÚSTRIA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,INFRA-ESTRUTURA,NÃO INFORMADO,"0,00","36.126.455,14"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,JUDICIÁRIA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER JUDICIÁRIO,PODERES DO ESTADO E REPRESENTAÇÃO,NÃO INFORMADO,"0,00","5.014.550.797,86"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,LEGISLATIVA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER LEGISLATIVO,PODERES DO ESTADO E REPRESENTAÇÃO,NÃO INFORMADO,"0,00","936.907.555,65"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,ORGANIZAÇÃO AGRÁRIA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,OUTRO PODER,"FAZENDA, DESENVOLVIMENTO E TURISMO",NÃO INFORMADO,"0,00","392.913.170,62"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,ORGANIZAÇÃO AGRÁRIA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,AGRICULTURA E DESENVOLVIMENTO AGRÁRIO,NÃO INFORMADO,"0,00","150.130.035,95"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,PREVIDÊNCIA SOCIAL,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,"TRABALHO, PREVIDÊNCIA E ASSISTÊNCIA SOCIAL",NÃO INFORMADO,"0,00","1.376.236.660,24"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,RELAÇÕES EXTERIORES,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,PODERES DO ESTADO E REPRESENTAÇÃO,NÃO INFORMADO,"0,00","204.000.794,27"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,SAÚDE,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,OUTRO PODER,"FAZENDA, DESENVOLVIMENTO E TURISMO",NÃO INFORMADO,"0,00","24.523.177,25"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,SAÚDE,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,SAÚDE,NÃO INFORMADO,"0,00","2.144.227.298,53"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,SEGURANÇA PÚBLICA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,JUSTIÇA E DEFESA,NÃO INFORMADO,"0,00","1.320.485.198,53"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,SEGURANÇA PÚBLICA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,PODERES DO ESTADO E REPRESENTAÇÃO,NÃO INFORMADO,"0,00","81.678.617,68"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,TRABALHO,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,"TRABALHO, PREVIDÊNCIA E ASSISTÊNCIA SOCIAL",NÃO INFORMADO,"0,00","416.778.950,47"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,TRANSPORTE,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,OUTRO PODER,"FAZENDA, DESENVOLVIMENTO E TURISMO",NÃO INFORMADO,"0,00","5.559.669.292,98"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,TRANSPORTE,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,INFRA-ESTRUTURA,NÃO INFORMADO,"0,00","204.107.595,07"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,TRANSPORTE,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,PODERES DO ESTADO E REPRESENTAÇÃO,NÃO INFORMADO,"0,00","1.656,09"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,URBANISMO,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,PLANEJAMENTO E DESENVOLVIMENTO URBANO,NÃO INFORMADO,"0,00","8.677.621,95"
2010,PESSOAL E ENCARGOS SOCIAIS - CONTRIBUIÇÃO PATRONAL (GND 1),005,ADMINISTRAÇÃO,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,PLANEJAMENTO E DESENVOLVIMENTO URBANO,NÃO INFORMADO,"0,00","0,00"
2010,PESSOAL E ENCARGOS SOCIAIS - CONTRIBUIÇÃO PATRONAL (GND 1),005,EDUCAÇÃO,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,"EDUCAÇÃO, CULTURA, CIÊNCIA E TECNOLOGIA E ESPORTE",NÃO INFORMADO,"0,00","0,00"
2010,PESSOAL E ENCARGOS SOCIAIS - CONTRIBUIÇÃO PATRONAL (GND 1),005,ENCARGOS ESPECIAIS,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,MINISTÉRIO PÚBLICO DA UNIÃO,PODERES DO ESTADO E REPRESENTAÇÃO,NÃO INFORMADO,"0,00","0,00"
2010,PESSOAL E ENCARGOS SOCIAIS - CONTRIBUIÇÃO PATRONAL (GND 1),005,ENCARGOS ESPECIAIS,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,OUTRO PODER,"FAZENDA, DESENVOLVIMENTO E TURISMO",NÃO INFORMADO,"0,00","87.115.377,28"
